senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
Sherrod Brown,https://www.brown.senate.gov,5,1,5.0
Tammy Baldwin,https://www.baldwin.senate.gov,3,0,0.0
Michael F. Bennet,https://www.bennet.senate.gov,2,7,0.2857
Richard Blumenthal,https://www.blumenthal.senate.gov,1,0,0.0
Cory A. Booker,https://www.booker.senate.gov,1,2,0.5
Maria Cantwell,https://www.cantwell.senate.gov,2,0,0.0
Benjamin L. Cardin,https://www.cardin.senate.gov,0,1,0.0
Thomas R. Carper,https://www.carper.senate.gov/public,7,0,0.0
"Robert P. Casey, Jr.",https://www.casey.senate.gov,2,2,1.0
Christopher A. Coons,https://www.coons.senate.gov,2,1,2.0
Catherine Cortez Masto,https://www.cortezmasto.senate.gov,0,0,0.0
Richard J. Durbin,https://www.durbin.senate.gov,2,0,0.0
Joe Donnelly,https://www.donnelly.senate.gov,4,1,4.0
Tammy Duckworth,https://www.duckworth.senate.gov,0,1,0.0
Dianne Feinstein,https://www.feinstein.senate.gov,0,0,0.0
Al Franken,https://www.franken.senate.gov,10,2,5.0
Kirsten E. Gillibrand,https://www.gillibrand.senate.gov,1,0,0.0
Mazie K. Hirono,https://www.hirono.senate.gov,0,0,0.0
Martin Heinrich,https://www.heinrich.senate.gov,5,3,1.6667
Heidi Heitkamp,https://www.heitkamp.senate.gov/public,4,0,0.0
Kamala D. Harris,https://www.harris.senate.gov,0,2,0.0
Margaret Wood Hassan,https://www.hassan.senate.gov,2,0,0.0
Amy Klobuchar,https://www.klobuchar.senate.gov,0,0,0.0
Tim Kaine,https://www.kaine.senate.gov,7,0,0.0
Patrick J. Leahy,https://www.leahy.senate.gov,2,3,0.6667
Edward J. Markey,https://www.markey.senate.gov,13,0,0.0
Robert Menendez,https://www.menendez.senate.gov,3,0,0.0
Patty Murray,https://www.murray.senate.gov/public,6,0,0.0
Christopher Murphy,https://www.murphy.senate.gov,0,0,0.0
Claire McCaskill,https://www.mccaskill.senate.gov,1,0,0.0
Jeff Merkley,https://www.merkley.senate.gov,1,1,1.0
"Joe Manchin, III",https://www.manchin.senate.gov/public,4,4,1.0
Bill Nelson,https://www.billnelson.senate.gov,4,0,0.0
Gary C. Peters,https://www.peters.senate.gov,0,0,0.0
Jack Reed,https://www.reed.senate.gov,3,1,3.0
Charles E. Schumer,https://www.schumer.senate.gov,0,0,0.0
Debbie Stabenow,https://www.stabenow.senate.gov,4,0,0.0
Jeanne Shaheen,https://www.shaheen.senate.gov,2,0,0.0
Brian Schatz,https://www.schatz.senate.gov,6,1,6.0
Jon Tester,https://www.tester.senate.gov,3,0,0.0
Tom Udall,https://www.tomudall.senate.gov,1,0,0.0
Chris Van Hollen,https://www.vanhollen.senate.gov,2,1,2.0
Ron Wyden,https://www.wyden.senate.gov,10,1,10.0
Sheldon Whitehouse,https://www.whitehouse.senate.gov,0,1,0.0
Mark R. Warner,https://www.warner.senate.gov,0,0,0.0
Elizabeth Warren,https://www.warren.senate.gov,1,5,0.2
"Angus S. King, Jr.",https://www.king.senate.gov,4,0,0.0
Bernard Sanders,https://www.sanders.senate.gov,2,5,0.4
