senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
Alma S. Adams,http://adams.house.gov,5,4,1.25
Pete Aguilar,https://aguilar.house.gov,5,0,0.0
"Sanford D. Bishop, Jr.",http://bishop.house.gov,4,0,0.0
Earl Blumenauer,https://blumenauer.house.gov,7,0,0.0
Robert A. Brady,http://brady.house.gov,9,1,9.0
Madeleine Z. Bordallo,https://bordallo.house.gov,2,0,0.0
G. K. Butterfield,http://butterfield.house.gov,3,1,3.0
Karen Bass,https://bass.house.gov,5,3,1.6667
Suzanne Bonamici,http://bonamici.house.gov,7,0,0.0
Joyce Beatty,http://beatty.house.gov,9,0,0.0
Julia Brownley,http://juliabrownley.house.gov,16,0,0.0
Cheri Bustos,https://bustos.house.gov,12,1,12.0
Ami Bera,http://bera.house.gov,11,2,5.5
"Donald S. Beyer, Jr.",http://beyer.house.gov,7,0,0.0
Brendan F. Boyle,https://boyle.house.gov,5,4,1.25
Nanette Diaz Barragán,https://barragan.house.gov,6,0,0.0
Lisa Blunt Rochester,https://bluntrochester.house.gov,3,2,1.5
Anthony G. Brown,https://anthonybrown.house.gov,5,4,1.25
James E. Clyburn,http://clyburn.house.gov,4,0,0.0
"John Conyers, Jr.",https://conyers.house.gov,3,2,1.5
Jim Cooper,http://cooper.house.gov,5,0,0.0
Elijah E. Cummings,https://cummings.house.gov,8,0,0.0
Michael E. Capuano,http://capuano.house.gov,4,9,0.4444
Joseph Crowley,http://crowley.house.gov,8,1,8.0
Wm. Lacy Clay,https://lacyclay.house.gov,11,0,0.0
Jim Costa,https://costa.house.gov,4,1,4.0
Emanuel Cleaver,http://cleaver.house.gov,9,0,0.0
Henry Cuellar,http://cuellar.house.gov,10,0,0.0
Kathy Castor,http://castor.house.gov,7,0,0.0
Yvette D. Clarke,https://clarke.house.gov,6,0,0.0
Steve Cohen,https://cohen.house.gov,13,2,6.5
Joe Courtney,https://courtney.house.gov,6,0,0.0
André Carson,http://carson.house.gov,6,2,3.0
Gerald E. Connolly,https://connolly.house.gov,2,0,0.0
Judy Chu,https://chu.house.gov,6,0,0.0
