senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
Robert B. Aderholt,https://aderholt.house.gov,10,5,2.0
Justin Amash,http://amash.house.gov,6,0,0.0
Mark E. Amodei,https://amodei.house.gov,1,0,0.0
Rick W. Allen,http://allen.house.gov,4,0,0.0
Ralph Lee Abraham,https://abraham.house.gov,21,0,0.0
Jodey C. Arrington,https://arrington.house.gov,7,0,0.0
Joe Barton,https://joebarton.house.gov,5,0,0.0
Kevin Brady,http://kevinbrady.house.gov,12,0,0.0
Marsha Blackburn,http://blackburn.house.gov,4,0,0.0
Michael C. Burgess,http://burgess.house.gov,4,0,0.0
Rob Bishop,http://robbishop.house.gov,2,0,0.0
Gus M. Bilirakis,https://bilirakis.house.gov,4,0,0.0
Vern Buchanan,https://buchanan.house.gov,1,1,1.0
Lou Barletta,http://barletta.house.gov,3,0,0.0
Diane Black,http://black.house.gov,12,2,6.0
Mo Brooks,https://brooks.house.gov,6,4,1.5
Larry Bucshon,https://bucshon.house.gov,20,0,0.0
Andy Barr,https://barr.house.gov,12,0,0.0
Jim Bridenstine,http://bridenstine.house.gov,6,0,0.0
Susan W. Brooks,http://susanwbrooks.house.gov,21,0,0.0
Bradley Byrne,https://byrne.house.gov,4,4,1.0
Dave Brat,http://brat.house.gov,4,0,0.0
Brian Babin,http://babin.house.gov,10,0,0.0
Mike Bishop,https://mikebishop.house.gov,10,1,10.0
Rod Blum,https://blum.house.gov,9,2,4.5
Mike Bost,https://bost.house.gov,7,0,0.0
Ken Buck,https://buck.house.gov,10,0,0.0
Don Bacon,https://bacon.house.gov,4,0,0.0
Jim Banks,https://banks.house.gov,6,0,0.0
Jack Bergman,https://bergman.house.gov,6,0,0.0
Andy Biggs,https://biggs.house.gov,3,2,1.5
Ted Budd,https://budd.house.gov,5,0,0.0
Ken Calvert,http://calvert.house.gov,4,0,0.0
Steve Chabot,http://chabot.house.gov,4,0,0.0
John Abney Culberson,http://culberson.house.gov,5,0,0.0
John R. Carter,https://carter.house.gov,14,0,0.0
Tom Cole,https://cole.house.gov,11,0,0.0
K. Michael Conaway,http://conaway.house.gov,4,0,0.0
Jason Chaffetz,https://chaffetz.house.gov,6,1,6.0
Mike Coffman,http://coffman.house.gov,8,0,0.0
"Eric A. ""Rick"" Crawford",http://crawford.house.gov,2,1,2.0
Chris Collins,https://chriscollins.house.gov,215,3,71.6667
Doug Collins,https://dougcollins.house.gov,1,1,1.0
Paul Cook,http://cook.house.gov,10,0,0.0
Kevin Cramer,http://cramer.house.gov,4,0,0.0
"Earl L. ""Buddy"" Carter",http://buddycarter.house.gov,9,0,0.0
Barbara Comstock,https://comstock.house.gov,8,0,0.0
Ryan A. Costello,https://costello.house.gov,3,0,0.0
Carlos Curbelo,http://curbelo.house.gov,8,0,0.0
James Comer,https://comer.house.gov,7,0,0.0
Liz Cheney,https://cheney.house.gov,6,0,0.0
"John J. Duncan, Jr.",http://duncan.house.gov,6,2,3.0
Mario Diaz-Balart,http://mariodiazbalart.house.gov,4,0,0.0
Charles W. Dent,https://dent.house.gov,10,0,0.0
Jeff Denham,http://denham.house.gov,3,0,0.0
Sean P. Duffy,https://duffy.house.gov,3,0,0.0
Jeff Duncan,http://jeffduncan.house.gov,13,0,0.0
Scott DesJarlais,https://desjarlais.house.gov,4,3,1.3333
Rodney Davis,http://rodneydavis.house.gov,4,0,0.0
Ron DeSantis,http://desantis.house.gov,10,0,0.0
"Daniel M. Donovan, Jr.",https://donovan.house.gov,7,0,0.0
Warren Davidson,https://davidson.house.gov,7,0,0.0
Neal P. Dunn,https://dunn.house.gov,9,0,0.0
Tom Emmer,https://emmer.house.gov,6,0,0.0
Ron Estes,https://estes.house.gov,8,0,0.0
Rodney P. Frelinghuysen,https://frelinghuysen.house.gov,1,0,0.0
Trent Franks,https://franks.house.gov,2,0,0.0
Jeff Fortenberry,https://fortenberry.house.gov,12,2,6.0
Virginia Foxx,http://foxx.house.gov,4,0,0.0
"Charles J. ""Chuck"" Fleischmann",http://fleischmann.house.gov,8,0,0.0
