senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
Lamar Alexander,https://www.alexander.senate.gov/public,10,1,10.0
Roy Blunt,https://www.blunt.senate.gov/public,8,1,8.0
Richard Burr,https://www.burr.senate.gov,2,6,0.3333
John Boozman,https://www.boozman.senate.gov/public,4,1,4.0
John Barrasso,https://www.barrasso.senate.gov,0,0,0.0
Thad Cochran,https://www.cochran.senate.gov,0,0,0.0
Mike Crapo,https://www.crapo.senate.gov,4,1,4.0
Susan M. Collins,http://www.collins.senate.gov,10,2,5.0
Shelley Moore Capito,https://www.capito.senate.gov,6,0,0.0
John Cornyn,https://www.cornyn.senate.gov,4,0,0.0
Bob Corker,https://www.corker.senate.gov,0,0,0.0
Bill Cassidy,https://www.cassidy.senate.gov,6,0,0.0
Tom Cotton,https://www.cotton.senate.gov,2,0,0.0
Ted Cruz,https://www.cruz.senate.gov,4,1,4.0
Steve Daines,https://www.daines.senate.gov,4,0,0.0
Michael B. Enzi,https://www.enzi.senate.gov,0,0,0.0
Joni Ernst,https://www.ernst.senate.gov/public,1,1,1.0
Jeff Flake,https://www.flake.senate.gov/public,4,0,0.0
Deb Fischer,https://www.fischer.senate.gov,0,0,0.0
Lindsey Graham,https://www.lgraham.senate.gov/public,3,9,0.3333
Chuck Grassley,https://www.grassley.senate.gov,4,0,0.0
Cory Gardner,https://www.gardner.senate.gov,6,1,6.0
Orrin G. Hatch,http://www.hatch.senate.gov,0,0,0.0
Dean Heller,https://www.heller.senate.gov/public,5,0,0.0
John Hoeven,https://www.hoeven.senate.gov,8,1,8.0
James M. Inhofe,https://www.inhofe.senate.gov,3,0,0.0
Johnny Isakson,https://www.isakson.senate.gov,0,0,0.0
Ron Johnson,https://www.ronjohnson.senate.gov,0,0,0.0
John Kennedy,https://www.kennedy.senate.gov,3,0,0.0
James Lankford,https://www.lankford.senate.gov,8,0,0.0
Mike Lee,https://www.lee.senate.gov/public,8,0,0.0
John McCain,https://www.mccain.senate.gov,0,0,0.0
Mitch McConnell,https://www.mcconnell.senate.gov,0,0,0.0
Jerry Moran,https://www.moran.senate.gov,0,0,0.0
Lisa Murkowski,https://www.murkowski.senate.gov,7,1,7.0
Rob Portman,https://www.portman.senate.gov,0,0,0.0
Rand Paul,https://www.paul.senate.gov,0,0,0.0
David Perdue,https://www.perdue.senate.gov,5,0,0.0
Pat Roberts,https://www.roberts.senate.gov,0,0,0.0
James E. Risch,https://www.risch.senate.gov,0,0,0.0
Marco Rubio,https://www.rubio.senate.gov,0,0,0.0
Mike Rounds,https://www.rounds.senate.gov,4,0,0.0
Richard C. Shelby,https://www.shelby.senate.gov,0,0,0.0
Tim Scott,https://www.scott.senate.gov,3,1,3.0
Ben Sasse,https://www.sasse.senate.gov/public,3,3,1.0
Dan Sullivan,https://www.sullivan.senate.gov,9,1,9.0
Luther Strange,https://www.strange.senate.gov,2,2,1.0
John Thune,https://www.thune.senate.gov,0,0,0.0
Patrick J. Toomey,https://www.toomey.senate.gov,6,8,0.75
Thom Tillis,https://www.tillis.senate.gov/public,3,3,1.0
Roger F. Wicker,https://www.wicker.senate.gov,0,0,0.0
Todd Young,https://www.young.senate.gov,2,0,0.0
