senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Alma S. Adams,RepAdams,"",26,7,26.92,2,7.69,3.5,"[""https://twitter.com/RepAdams/status/874746934917033984"", ""https://twitter.com/RepAdams/status/874670199798091776"", ""https://twitter.com/RepAdams/status/874665173780484096"", ""https://twitter.com/RepAdams/status/874658623246393344"", ""https://twitter.com/RepAdams/status/874341032439275520"", ""https://twitter.com/RepAdams/status/874335624173690880"", ""https://twitter.com/RepAdams/status/874259314474659840""]","[""https://twitter.com/RepAdams/status/874745178942304261"", ""https://twitter.com/RepAdams/status/874699241117143040""]"
Pete Aguilar,reppeteaguilar,"",5,0,0.0,0,0.0,0.0,[],[]
"Sanford D. Bishop, Jr.",SanfordBishop,"",1,0,0.0,0,0.0,0.0,[],[]
Earl Blumenauer,BlumenauerMedia,"",0,0,0.0,0,0.0,0.0,[],[]
Robert A. Brady,RepBrady,"",4,2,50.0,0,0.0,0.0,"[""https://twitter.com/RepBrady/status/875345549695873024"", ""https://twitter.com/RepBrady/status/875345343218671616""]",[]
G. K. Butterfield,GKButterfield,"",24,6,25.0,0,0.0,0.0,"[""https://twitter.com/GKButterfield/status/876045124152815618"", ""https://twitter.com/GKButterfield/status/874698730267717632"", ""https://twitter.com/GKButterfield/status/874694989858697216"", ""https://twitter.com/GKButterfield/status/874662490742939649"", ""https://twitter.com/GKButterfield/status/874337204973314050"", ""https://twitter.com/GKButterfield/status/874270851750928384""]",[]
Karen Bass,RepKarenBass,"",15,1,6.67,1,6.67,1.0,"[""https://twitter.com/RepKarenBass/status/874685836318703625""]","[""https://twitter.com/RepKarenBass/status/874410900148629506""]"
Suzanne Bonamici,RepBonamici,"",6,1,16.67,0,0.0,0.0,"[""https://twitter.com/RepBonamici/status/874780017678536704""]",[]
Joyce Beatty,RepBeatty,"",24,8,33.33,0,0.0,0.0,"[""https://twitter.com/RepBeatty/status/875808953007050753"", ""https://twitter.com/RepBeatty/status/875797433762164736"", ""https://twitter.com/RepBeatty/status/875442809494319105"", ""https://twitter.com/RepBeatty/status/874714469024321536"", ""https://twitter.com/RepBeatty/status/874675009545023488"", ""https://twitter.com/RepBeatty/status/874657945463738370"", ""https://twitter.com/RepBeatty/status/874322829151547394"", ""https://twitter.com/RepBeatty/status/874256791638601728""]",[]
Julia Brownley,JuliaBrownley26,"",6,3,50.0,0,0.0,0.0,"[""https://twitter.com/JuliaBrownley26/status/875431776243638272"", ""https://twitter.com/JuliaBrownley26/status/874733393887604737"", ""https://twitter.com/JuliaBrownley26/status/874396778673647616""]",[]
Cheri Bustos,RepCheri,"",28,4,14.29,1,3.57,4.0,"[""https://twitter.com/RepCheri/status/874726520857690113"", ""https://twitter.com/RepCheri/status/874679381628682240"", ""https://twitter.com/RepCheri/status/874656045850865664"", ""https://twitter.com/RepCheri/status/873928541100023808""]","[""https://twitter.com/RepCheri/status/874656045850865664""]"
Ami Bera,RepBera,"",10,1,10.0,0,0.0,0.0,"[""https://twitter.com/RepBera/status/875832152524546050""]",[]
"Donald S. Beyer, Jr.",repdonbeyer,"",159,25,15.72,21,13.21,1.1905,"[""https://twitter.com/RepDonBeyer/status/876180526255796224"", ""https://twitter.com/RepDonBeyer/status/876109146139090946"", ""https://twitter.com/RepDonBeyer/status/875808472310444032"", ""https://twitter.com/RepDonBeyer/status/875781690702090242"", ""https://twitter.com/RepDonBeyer/status/875732629483651074"", ""https://twitter.com/RepDonBeyer/status/875727613767151617"", ""https://twitter.com/RepDonBeyer/status/875391065699889153"", ""https://twitter.com/RepDonBeyer/status/874770088641134593"", ""https://twitter.com/RepDonBeyer/status/874758018411507713"", ""https://twitter.com/RepDonBeyer/status/874744855712452608"", ""https://twitter.com/RepDonBeyer/status/874674673656659968"", ""https://twitter.com/RepDonBeyer/status/874672526366003201"", ""https://twitter.com/RepDonBeyer/status/874670949412601858"", ""https://twitter.com/RepDonBeyer/status/874661034606440449"", ""https://twitter.com/RepDonBeyer/status/874620483823702016"", ""https://twitter.com/RepDonBeyer/status/874595457049047040"", ""https://twitter.com/RepDonBeyer/status/874385999157133312"", ""https://twitter.com/RepDonBeyer/status/874352543048101890"", ""https://twitter.com/RepDonBeyer/status/874346389546967041"", ""https://twitter.com/RepDonBeyer/status/874243531048718336"", ""https://twitter.com/RepDonBeyer/status/874232816967352320"", ""https://twitter.com/RepDonBeyer/status/873692537831268353"", ""https://twitter.com/RepDonBeyer/status/873619024302804993"", ""https://twitter.com/RepDonBeyer/status/873610906332221441"", ""https://twitter.com/RepDonBeyer/status/873563405998637056""]","[""https://twitter.com/RepDonBeyer/status/875816308398542848"", ""https://twitter.com/RepDonBeyer/status/875774487270219776"", ""https://twitter.com/RepDonBeyer/status/874947403325091840"", ""https://twitter.com/RepDonBeyer/status/874754239624597505"", ""https://twitter.com/RepDonBeyer/status/874750107106897922"", ""https://twitter.com/RepDonBeyer/status/874734493592166400"", ""https://twitter.com/RepDonBeyer/status/874725179313852417"", ""https://twitter.com/RepDonBeyer/status/874722790729023489"", ""https://twitter.com/RepDonBeyer/status/874713225576816640"", ""https://twitter.com/RepDonBeyer/status/874709645708972032"", ""https://twitter.com/RepDonBeyer/status/874707312438460416"", ""https://twitter.com/RepDonBeyer/status/874705069106757632"", ""https://twitter.com/RepDonBeyer/status/874703268882124801"", ""https://twitter.com/RepDonBeyer/status/874422512783958021"", ""https://twitter.com/RepDonBeyer/status/874422445792514049"", ""https://twitter.com/RepDonBeyer/status/874405823614791680"", ""https://twitter.com/RepDonBeyer/status/874379575446446080"", ""https://twitter.com/RepDonBeyer/status/874333726439768066"", ""https://twitter.com/RepDonBeyer/status/873926298174865408"", ""https://twitter.com/RepDonBeyer/status/873913472563765248"", ""https://twitter.com/RepDonBeyer/status/873902470120038400""]"
Brendan F. Boyle,CongBoyle,"",30,2,6.67,1,3.33,2.0,"[""https://twitter.com/CongBoyle/status/874725641865789441"", ""https://twitter.com/CongBoyle/status/874359432704135169""]","[""https://twitter.com/CongBoyle/status/873903067703455744""]"
Nanette Diaz Barragán,RepBarragan,"",38,5,13.16,2,5.26,2.5,"[""https://twitter.com/RepBarragan/status/875794360956334081"", ""https://twitter.com/RepBarragan/status/875465453891661828"", ""https://twitter.com/RepBarragan/status/875390978416406528"", ""https://twitter.com/RepBarragan/status/874930414493872128"", ""https://twitter.com/RepBarragan/status/874267641103343616""]","[""https://twitter.com/RepBarragan/status/874724027125911553"", ""https://twitter.com/RepBarragan/status/874315886668128258""]"
Lisa Blunt Rochester,RepBRochester,"",8,0,0.0,0,0.0,0.0,[],[]
Anthony G. Brown,RepAnthonyBrown,"",23,2,8.7,0,0.0,0.0,"[""https://twitter.com/RepAnthonyBrown/status/875412652171952128"", ""https://twitter.com/RepAnthonyBrown/status/874718328421482496""]",[]
James E. Clyburn,Clyburn,"",6,2,33.33,0,0.0,0.0,"[""https://twitter.com/Clyburn/status/876069430240854017"", ""https://twitter.com/Clyburn/status/874274386337038336""]",[]
"John Conyers, Jr.",RepJohnConyers,"",5,0,0.0,1,20.0,0.0,[],"[""https://twitter.com/RepJohnConyers/status/874406963014193154""]"
Jim Cooper,RepJimCooper,"",13,4,30.77,1,7.69,4.0,"[""https://twitter.com/repjimcooper/status/875720279670083584"", ""https://twitter.com/repjimcooper/status/875406316201750529"", ""https://twitter.com/repjimcooper/status/874617104435163136"", ""https://twitter.com/repjimcooper/status/873907705651638274""]","[""https://twitter.com/repjimcooper/status/874629555507666944""]"
