senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Robert B. Aderholt,Robert_Aderholt,"",5,0,0.0,0,0.0,0.0,[],[]
Mark E. Amodei,MarkAmodeiNV2,"",1,0,0.0,0,0.0,0.0,[],[]
Rick W. Allen,reprickallen,"",9,1,11.11,0,0.0,0.0,"[""https://twitter.com/RepRickAllen/status/874652133450293249""]",[]
Ralph Lee Abraham,RepAbraham,"",4,0,0.0,0,0.0,0.0,[],[]
Jodey C. Arrington,RepArrington,"",5,0,0.0,1,20.0,0.0,[],"[""https://twitter.com/RepArrington/status/875776821106790400""]"
Joe Barton,RepJoeBarton,"",9,0,0.0,0,0.0,0.0,[],[]
Kevin Brady,RepKevinBrady,"",23,7,30.43,0,0.0,0.0,"[""https://twitter.com/RepKevinBrady/status/875754304694620162"", ""https://twitter.com/RepKevinBrady/status/874731303631032321"", ""https://twitter.com/RepKevinBrady/status/874689378605510657"", ""https://twitter.com/RepKevinBrady/status/874682809796919296"", ""https://twitter.com/RepKevinBrady/status/874653740309020672"", ""https://twitter.com/RepKevinBrady/status/874367410601697281"", ""https://twitter.com/RepKevinBrady/status/874288732437979137""]",[]
Marsha Blackburn,MarshaBlackburn,"",16,2,12.5,0,0.0,0.0,"[""https://twitter.com/MarshaBlackburn/status/875897809597341697"", ""https://twitter.com/MarshaBlackburn/status/875803035670368258""]",[]
Michael C. Burgess,MichaelCBurgess,"",8,1,12.5,0,0.0,0.0,"[""https://twitter.com/michaelcburgess/status/875305603907956736""]",[]
Rob Bishop,RepRobBishop,"",0,0,0.0,0,0.0,0.0,[],[]
Gus M. Bilirakis,RepGusBilirakis,"",7,0,0.0,0,0.0,0.0,[],[]
Vern Buchanan,VernBuchanan,"",5,0,0.0,0,0.0,0.0,[],[]
Lou Barletta,RepLouBarletta,"",9,4,44.44,0,0.0,0.0,"[""https://twitter.com/RepLouBarletta/status/874740748004020224"", ""https://twitter.com/RepLouBarletta/status/874729232311738368"", ""https://twitter.com/RepLouBarletta/status/874698727004536833"", ""https://twitter.com/RepLouBarletta/status/874403317308416000""]",[]
Diane Black,RepDianeBlack,"",22,2,9.09,0,0.0,0.0,"[""https://twitter.com/RepDianeBlack/status/874798410360115201"", ""https://twitter.com/RepDianeBlack/status/874284441207795712""]",[]
