senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Sherrod Brown,SenSherrodBrown,SherrodBrown,45,23,51.11,0,0.0,0.0,"[""https://twitter.com/SenSherrodBrown/status/877929148081197056"", ""https://twitter.com/SenSherrodBrown/status/877926846268047362"", ""https://twitter.com/SenSherrodBrown/status/877923486512971777"", ""https://twitter.com/SenSherrodBrown/status/877907243571834882"", ""https://twitter.com/SenSherrodBrown/status/877884773510914049"", ""https://twitter.com/SenSherrodBrown/status/877300859574652932"", ""https://twitter.com/SenSherrodBrown/status/877164510804684805"", ""https://twitter.com/SenSherrodBrown/status/876929624793522176"", ""https://twitter.com/SenSherrodBrown/status/876929032071151616"", ""https://twitter.com/SenSherrodBrown/status/876928373947338753"", ""https://twitter.com/SenSherrodBrown/status/876927776120463360"", ""https://twitter.com/SenSherrodBrown/status/876927341599084544"", ""https://twitter.com/SenSherrodBrown/status/876926612125732865"", ""https://twitter.com/SenSherrodBrown/status/876925879414169600"", ""https://twitter.com/SenSherrodBrown/status/876925073877336065"", ""https://twitter.com/SenSherrodBrown/status/876924497462427648"", ""https://twitter.com/SenSherrodBrown/status/876923577391566849"", ""https://twitter.com/SenSherrodBrown/status/876923061269868544"", ""https://twitter.com/SenSherrodBrown/status/876922506661310464"", ""https://twitter.com/SenSherrodBrown/status/876861609733484544"", ""https://twitter.com/SenSherrodBrown/status/875471571795800068"", ""https://twitter.com/SenSherrodBrown/status/875425340449071105"", ""https://twitter.com/SenSherrodBrown/status/875365733785624576""]",[]
Tammy Baldwin,SenatorBaldwin,tammybaldwin,103,64,62.14,0,0.0,0.0,"[""https://twitter.com/SenatorBaldwin/status/877974207958843392"", ""https://twitter.com/SenatorBaldwin/status/877974113691815936"", ""https://twitter.com/SenatorBaldwin/status/877973953431486465"", ""https://twitter.com/SenatorBaldwin/status/877973581203996673"", ""https://twitter.com/SenatorBaldwin/status/877968353821945856"", ""https://twitter.com/SenatorBaldwin/status/877968094185930752"", ""https://twitter.com/SenatorBaldwin/status/877960986530951168"", ""https://twitter.com/SenatorBaldwin/status/877960894671601664"", ""https://twitter.com/SenatorBaldwin/status/877957034867650560"", ""https://twitter.com/SenatorBaldwin/status/877951452798271489"", ""https://twitter.com/SenatorBaldwin/status/877634122063138817"", ""https://twitter.com/SenatorBaldwin/status/877633232551821313"", ""https://twitter.com/SenatorBaldwin/status/877632586671149056"", ""https://twitter.com/SenatorBaldwin/status/877632126442549252"", ""https://twitter.com/SenatorBaldwin/status/877631714025066501"", ""https://twitter.com/SenatorBaldwin/status/877573580115951619"", ""https://twitter.com/SenatorBaldwin/status/877558484044316676"", ""https://twitter.com/SenatorBaldwin/status/877550189917208576"", ""https://twitter.com/SenatorBaldwin/status/877549838128295937"", ""https://twitter.com/SenatorBaldwin/status/877549769006219264"", ""https://twitter.com/SenatorBaldwin/status/877255260821127168"", ""https://twitter.com/SenatorBaldwin/status/877234655841353728"", ""https://twitter.com/SenatorBaldwin/status/877227898394030081"", ""https://twitter.com/SenatorBaldwin/status/877203688376467456"", ""https://twitter.com/SenatorBaldwin/status/877008174632644609"", ""https://twitter.com/SenatorBaldwin/status/877003185864536064"", ""https://twitter.com/SenatorBaldwin/status/877003007996678144"", ""https://twitter.com/SenatorBaldwin/status/877002915029954560"", ""https://twitter.com/SenatorBaldwin/status/877002720481292288"", ""https://twitter.com/SenatorBaldwin/status/877002527887306752"", ""https://twitter.com/SenatorBaldwin/status/877002149439451136"", ""https://twitter.com/SenatorBaldwin/status/877002063670108161"", ""https://twitter.com/SenatorBaldwin/status/877001757179686912"", ""https://twitter.com/SenatorBaldwin/status/877001647561596932"", ""https://twitter.com/SenatorBaldwin/status/877001555626602497"", ""https://twitter.com/SenatorBaldwin/status/877001422725943296"", ""https://twitter.com/SenatorBaldwin/status/877001091937906690"", ""https://twitter.com/SenatorBaldwin/status/877000968365383680"", ""https://twitter.com/SenatorBaldwin/status/877000422967390214"", ""https://twitter.com/SenatorBaldwin/status/876933865935339520"", ""https://twitter.com/SenatorBaldwin/status/876921030471696384"", ""https://twitter.com/SenatorBaldwin/status/876877493675974656"", ""https://twitter.com/SenatorBaldwin/status/876854349368086530"", ""https://twitter.com/SenatorBaldwin/status/876838989793181697"", ""https://twitter.com/SenatorBaldwin/status/876536911875252224"", ""https://twitter.com/SenatorBaldwin/status/876454778963984384"", ""https://twitter.com/SenatorBaldwin/status/875801577700950018"", ""https://twitter.com/SenatorBaldwin/status/875440148137345025"", ""https://twitter.com/SenatorBaldwin/status/875399400209756160"", ""https://twitter.com/SenatorBaldwin/status/875397392476110849"", ""https://twitter.com/SenatorBaldwin/status/875383150683209729"", ""https://twitter.com/SenatorBaldwin/status/875375143081607168"", ""https://twitter.com/SenatorBaldwin/status/875374513793490949"", ""https://twitter.com/SenatorBaldwin/status/875373986141569025"", ""https://twitter.com/SenatorBaldwin/status/875373624194191360"", ""https://twitter.com/SenatorBaldwin/status/875373227312336896"", ""https://twitter.com/SenatorBaldwin/status/875372877847158784"", ""https://twitter.com/SenatorBaldwin/status/875372226706591744"", ""https://twitter.com/tammybaldwin/status/877176498452668416"", ""https://twitter.com/tammybaldwin/status/877170383908204544"", ""https://twitter.com/tammybaldwin/status/877168323179548673"", ""https://twitter.com/tammybaldwin/status/877163289461051394"", ""https://twitter.com/tammybaldwin/status/876216667587702785"", ""https://twitter.com/tammybaldwin/status/875481395849723906""]",[]
Michael F. Bennet,SenBennetCo,BennetForCO,28,14,50.0,1,3.57,14.0,"[""https://twitter.com/SenBennetCO/status/877970831426695170"", ""https://twitter.com/SenBennetCO/status/877582145988042752"", ""https://twitter.com/SenBennetCO/status/877324586634715142"", ""https://twitter.com/SenBennetCO/status/877301946033557508"", ""https://twitter.com/SenBennetCO/status/877255643547271169"", ""https://twitter.com/SenBennetCO/status/877247943346192384"", ""https://twitter.com/SenBennetCO/status/877217794953293826"", ""https://twitter.com/SenBennetCO/status/877197607336120320"", ""https://twitter.com/SenBennetCO/status/876898306403598336"", ""https://twitter.com/SenBennetCO/status/876890624544440320"", ""https://twitter.com/SenBennetCO/status/876835820677812224"", ""https://twitter.com/SenBennetCO/status/875747363020836865"", ""https://twitter.com/SenBennetCO/status/875455830719479808"", ""https://twitter.com/SenBennetCO/status/875409664242053122""]","[""https://twitter.com/SenBennetCO/status/875756411212398592""]"
Richard Blumenthal,SenBlumenthal,"",58,26,44.83,3,5.17,8.6667,"[""https://twitter.com/SenBlumenthal/status/877972632460820482"", ""https://twitter.com/SenBlumenthal/status/877926704735330306"", ""https://twitter.com/SenBlumenthal/status/877926537600749568"", ""https://twitter.com/SenBlumenthal/status/877926482433024001"", ""https://twitter.com/SenBlumenthal/status/877926418268782592"", ""https://twitter.com/SenBlumenthal/status/877926330767114240"", ""https://twitter.com/SenBlumenthal/status/877926272931741697"", ""https://twitter.com/SenBlumenthal/status/877926187183427584"", ""https://twitter.com/SenBlumenthal/status/877926042865987584"", ""https://twitter.com/SenBlumenthal/status/877735076116652032"", ""https://twitter.com/SenBlumenthal/status/877735020764553216"", ""https://twitter.com/SenBlumenthal/status/877636416922169345"", ""https://twitter.com/SenBlumenthal/status/877541570756710400"", ""https://twitter.com/SenBlumenthal/status/877303801010683904"", ""https://twitter.com/SenBlumenthal/status/876922800753188864"", ""https://twitter.com/SenBlumenthal/status/876839005878452224"", ""https://twitter.com/SenBlumenthal/status/876838914933260289"", ""https://twitter.com/SenBlumenthal/status/876099152198995968"", ""https://twitter.com/SenBlumenthal/status/875826302971990017"", ""https://twitter.com/SenBlumenthal/status/875826178883563520"", ""https://twitter.com/SenBlumenthal/status/875767294097596417"", ""https://twitter.com/SenBlumenthal/status/875716137799102464"", ""https://twitter.com/SenBlumenthal/status/875425291706957824"", ""https://twitter.com/SenBlumenthal/status/875425168008650752"", ""https://twitter.com/SenBlumenthal/status/875425043085479936"", ""https://twitter.com/SenBlumenthal/status/875389091004776448""]","[""https://twitter.com/SenBlumenthal/status/877964670870536192"", ""https://twitter.com/SenBlumenthal/status/877964574879862784"", ""https://twitter.com/SenBlumenthal/status/876460203943833601""]"
Cory A. Booker,senbookeroffice,CoryBooker,161,79,49.07,1,0.62,79.0,"[""https://twitter.com/SenBookerOffice/status/877959711416492034"", ""https://twitter.com/SenBookerOffice/status/877959296667049984"", ""https://twitter.com/SenBookerOffice/status/877959171894804481"", ""https://twitter.com/SenBookerOffice/status/877959114160316416"", ""https://twitter.com/SenBookerOffice/status/877958916591800321"", ""https://twitter.com/SenBookerOffice/status/877958688153018368"", ""https://twitter.com/SenBookerOffice/status/877958523748982784"", ""https://twitter.com/SenBookerOffice/status/877957426271592448"", ""https://twitter.com/SenBookerOffice/status/877930937622773760"", ""https://twitter.com/SenBookerOffice/status/877669036091473920"", ""https://twitter.com/SenBookerOffice/status/877668865634861056"", ""https://twitter.com/SenBookerOffice/status/877668854670995456"", ""https://twitter.com/SenBookerOffice/status/877665545562316801"", ""https://twitter.com/SenBookerOffice/status/877658936542994432"", ""https://twitter.com/SenBookerOffice/status/877551359100424192"", ""https://twitter.com/SenBookerOffice/status/877545968849367040"", ""https://twitter.com/SenBookerOffice/status/877511338427379712"", ""https://twitter.com/SenBookerOffice/status/877298595283783680"", ""https://twitter.com/SenBookerOffice/status/877298432599367684"", ""https://twitter.com/SenBookerOffice/status/877261101100126209"", ""https://twitter.com/SenBookerOffice/status/877208121248292864"", ""https://twitter.com/SenBookerOffice/status/877207563120635906"", ""https://twitter.com/SenBookerOffice/status/877200846144106496"", ""https://twitter.com/SenBookerOffice/status/877200478379134979"", ""https://twitter.com/SenBookerOffice/status/877200428550717444"", ""https://twitter.com/SenBookerOffice/status/877199038290026498"", ""https://twitter.com/SenBookerOffice/status/877198222405644288"", ""https://twitter.com/SenBookerOffice/status/877197639078510592"", ""https://twitter.com/SenBookerOffice/status/877196811190108160"", ""https://twitter.com/SenBookerOffice/status/877192802119168001"", ""https://twitter.com/SenBookerOffice/status/877190484569059329"", ""https://twitter.com/SenBookerOffice/status/876971319648276481"", ""https://twitter.com/SenBookerOffice/status/876968574623117312"", ""https://twitter.com/SenBookerOffice/status/876935762733711360"", ""https://twitter.com/SenBookerOffice/status/876935691111981056"", ""https://twitter.com/SenBookerOffice/status/876935661928030214"", ""https://twitter.com/SenBookerOffice/status/876854252353835008"", ""https://twitter.com/SenBookerOffice/status/876854176088821760"", ""https://twitter.com/SenBookerOffice/status/876850253508562944"", ""https://twitter.com/SenBookerOffice/status/875463755102121984"", ""https://twitter.com/SenBookerOffice/status/875462189234180097"", ""https://twitter.com/SenBookerOffice/status/875434114828185601"", ""https://twitter.com/SenBookerOffice/status/875418592510136320"", ""https://twitter.com/SenBookerOffice/status/875418354793799680"", ""https://twitter.com/CoryBooker/status/877972088753094657"", ""https://twitter.com/CoryBooker/status/877948882096988161"", ""https://twitter.com/CoryBooker/status/877946781945929728"", ""https://twitter.com/CoryBooker/status/877946700329091072"", ""https://twitter.com/CoryBooker/status/877881730413277184"", ""https://twitter.com/CoryBooker/status/877881513659858945"", ""https://twitter.com/CoryBooker/status/877604799071440896"", ""https://twitter.com/CoryBooker/status/877601793575759872"", ""https://twitter.com/CoryBooker/status/877601606547775488"", ""https://twitter.com/CoryBooker/status/877527241751711744"", ""https://twitter.com/CoryBooker/status/877327348269555713"", ""https://twitter.com/CoryBooker/status/877325588016398337"", ""https://twitter.com/CoryBooker/status/877319276910137345"", ""https://twitter.com/CoryBooker/status/877319112245993472"", ""https://twitter.com/CoryBooker/status/877319049650339840"", ""https://twitter.com/CoryBooker/status/877278986954526724"", ""https://twitter.com/CoryBooker/status/877278648138649600"", ""https://twitter.com/CoryBooker/status/877224429675261952"", ""https://twitter.com/CoryBooker/status/877224296418078720"", ""https://twitter.com/CoryBooker/status/877216758452670469"", ""https://twitter.com/CoryBooker/status/877216568526213121"", ""https://twitter.com/CoryBooker/status/877211299758952448"", ""https://twitter.com/CoryBooker/status/877210734228377601"", ""https://twitter.com/CoryBooker/status/877198123654950912"", ""https://twitter.com/CoryBooker/status/877191023319035905"", ""https://twitter.com/CoryBooker/status/877152285251571712"", ""https://twitter.com/CoryBooker/status/877011110771265536"", ""https://twitter.com/CoryBooker/status/877009892082634753"", ""https://twitter.com/CoryBooker/status/876975273442455552"", ""https://twitter.com/CoryBooker/status/876923722145386496"", ""https://twitter.com/CoryBooker/status/876905558904852481"", ""https://twitter.com/CoryBooker/status/876905312099352576"", ""https://twitter.com/CoryBooker/status/876902033705492480"", ""https://twitter.com/CoryBooker/status/875408312698798081"", ""https://twitter.com/CoryBooker/status/875407562153349141""]","[""https://twitter.com/SenBookerOffice/status/875719306662862848""]"
Maria Cantwell,SenatorCantwell,"",59,41,69.49,0,0.0,0.0,"[""https://twitter.com/SenatorCantwell/status/877965664983580672"", ""https://twitter.com/SenatorCantwell/status/877960609878253568"", ""https://twitter.com/SenatorCantwell/status/877930176226750464"", ""https://twitter.com/SenatorCantwell/status/877911565797740544"", ""https://twitter.com/SenatorCantwell/status/877910301164752896"", ""https://twitter.com/SenatorCantwell/status/877908508322168832"", ""https://twitter.com/SenatorCantwell/status/877903458396905472"", ""https://twitter.com/SenatorCantwell/status/877679780283375617"", ""https://twitter.com/SenatorCantwell/status/877659148627963904"", ""https://twitter.com/SenatorCantwell/status/877654224166731777"", ""https://twitter.com/SenatorCantwell/status/877619132933525505"", ""https://twitter.com/SenatorCantwell/status/877597992563474434"", ""https://twitter.com/SenatorCantwell/status/877592588798361602"", ""https://twitter.com/SenatorCantwell/status/877588429856538624"", ""https://twitter.com/SenatorCantwell/status/877579637936836615"", ""https://twitter.com/SenatorCantwell/status/877572825464283136"", ""https://twitter.com/SenatorCantwell/status/877569031787626496"", ""https://twitter.com/SenatorCantwell/status/877553951184371712"", ""https://twitter.com/SenatorCantwell/status/877548626670751746"", ""https://twitter.com/SenatorCantwell/status/877213615517990912"", ""https://twitter.com/SenatorCantwell/status/877209525660651520"", ""https://twitter.com/SenatorCantwell/status/877181751583322113"", ""https://twitter.com/SenatorCantwell/status/876966832049012736"", ""https://twitter.com/SenatorCantwell/status/876939653122670592"", ""https://twitter.com/SenatorCantwell/status/876934229745164288"", ""https://twitter.com/SenatorCantwell/status/876930344439644160"", ""https://twitter.com/SenatorCantwell/status/876897877968076801"", ""https://twitter.com/SenatorCantwell/status/876891339207708672"", ""https://twitter.com/SenatorCantwell/status/876884176661655552"", ""https://twitter.com/SenatorCantwell/status/876488936205496320"", ""https://twitter.com/SenatorCantwell/status/876122771670958082"", ""https://twitter.com/SenatorCantwell/status/875517280414650368"", ""https://twitter.com/SenatorCantwell/status/875450341734498304"", ""https://twitter.com/SenatorCantwell/status/875442794537656322"", ""https://twitter.com/SenatorCantwell/status/875427139469926400"", ""https://twitter.com/SenatorCantwell/status/875424925661761536"", ""https://twitter.com/SenatorCantwell/status/875402527130439681"", ""https://twitter.com/SenatorCantwell/status/875396737715679232"", ""https://twitter.com/SenatorCantwell/status/875391477035278336"", ""https://twitter.com/SenatorCantwell/status/875375349290475521"", ""https://twitter.com/SenatorCantwell/status/875163952165961728""]",[]
Benjamin L. Cardin,SenatorCardin,BenCardinforMD,55,27,49.09,0,0.0,0.0,"[""https://twitter.com/SenatorCardin/status/877974367665303553"", ""https://twitter.com/SenatorCardin/status/877973077027676160"", ""https://twitter.com/SenatorCardin/status/877968786288201728"", ""https://twitter.com/SenatorCardin/status/877967286190997504"", ""https://twitter.com/SenatorCardin/status/877966923044139008"", ""https://twitter.com/SenatorCardin/status/877927869007134722"", ""https://twitter.com/SenatorCardin/status/877227332024639488"", ""https://twitter.com/SenatorCardin/status/877222617958232068"", ""https://twitter.com/SenatorCardin/status/877220252492251137"", ""https://twitter.com/SenatorCardin/status/877220001240850434"", ""https://twitter.com/SenatorCardin/status/877219497064579072"", ""https://twitter.com/SenatorCardin/status/877210314961563649"", ""https://twitter.com/SenatorCardin/status/876939832341221378"", ""https://twitter.com/SenatorCardin/status/876933423994163201"", ""https://twitter.com/SenatorCardin/status/876555744283426816"", ""https://twitter.com/SenatorCardin/status/876093327640231938"", ""https://twitter.com/SenatorCardin/status/876092085098631169"", ""https://twitter.com/SenatorCardin/status/875737192924155904"", ""https://twitter.com/SenatorCardin/status/875531041582329857"", ""https://twitter.com/SenatorCardin/status/875436145487872000"", ""https://twitter.com/SenatorCardin/status/875434334378971137"", ""https://twitter.com/SenatorCardin/status/875432665184432129"", ""https://twitter.com/SenatorCardin/status/875427799523352576"", ""https://twitter.com/SenatorCardin/status/875426142282493952"", ""https://twitter.com/SenatorCardin/status/875424550120542209"", ""https://twitter.com/SenatorCardin/status/875422854506045440"", ""https://twitter.com/SenatorCardin/status/875418958576353281""]",[]
Thomas R. Carper,SenatorCarper,TomCarperforDE,40,26,65.0,0,0.0,0.0,"[""https://twitter.com/SenatorCarper/status/877963476412633088"", ""https://twitter.com/SenatorCarper/status/877963280039501824"", ""https://twitter.com/SenatorCarper/status/877957972688646144"", ""https://twitter.com/SenatorCarper/status/877957854350659584"", ""https://twitter.com/SenatorCarper/status/877957223560888321"", ""https://twitter.com/SenatorCarper/status/877957119592542208"", ""https://twitter.com/SenatorCarper/status/877904711646535681"", ""https://twitter.com/SenatorCarper/status/877883573306576896"", ""https://twitter.com/SenatorCarper/status/877255989279440896"", ""https://twitter.com/SenatorCarper/status/877246047990448128"", ""https://twitter.com/SenatorCarper/status/877195590429323268"", ""https://twitter.com/SenatorCarper/status/877176902104100867"", ""https://twitter.com/SenatorCarper/status/877174201030856706"", ""https://twitter.com/SenatorCarper/status/877173974555295745"", ""https://twitter.com/SenatorCarper/status/877169127261167616"", ""https://twitter.com/SenatorCarper/status/877158449343324161"", ""https://twitter.com/SenatorCarper/status/876926116891676672"", ""https://twitter.com/SenatorCarper/status/876906738288660481"", ""https://twitter.com/SenatorCarper/status/876828179679326209"", ""https://twitter.com/SenatorCarper/status/876828133810417664"", ""https://twitter.com/SenatorCarper/status/876816756928638976"", ""https://twitter.com/SenatorCarper/status/876813297680621570"", ""https://twitter.com/SenatorCarper/status/876812764488118272"", ""https://twitter.com/SenatorCarper/status/875801134832766978"", ""https://twitter.com/SenatorCarper/status/875792911979425792"", ""https://twitter.com/SenatorCarper/status/875400936805597184""]",[]
"Robert P. Casey, Jr.",SenBobCasey,Bob_Casey,91,70,76.92,0,0.0,0.0,"[""https://twitter.com/SenBobCasey/status/877973306690818050"", ""https://twitter.com/SenBobCasey/status/877972897859477504"", ""https://twitter.com/SenBobCasey/status/877939778083184641"", ""https://twitter.com/SenBobCasey/status/877939146798489601"", ""https://twitter.com/SenBobCasey/status/877933128861351936"", ""https://twitter.com/SenBobCasey/status/877932223567089665"", ""https://twitter.com/SenBobCasey/status/877923792227631108"", ""https://twitter.com/SenBobCasey/status/877920401623592960"", ""https://twitter.com/SenBobCasey/status/877920156114202624"", ""https://twitter.com/SenBobCasey/status/877918130282012672"", ""https://twitter.com/SenBobCasey/status/877916586945990656"", ""https://twitter.com/SenBobCasey/status/877916165229641728"", ""https://twitter.com/SenBobCasey/status/877915568959086592"", ""https://twitter.com/SenBobCasey/status/877897758232805378"", ""https://twitter.com/SenBobCasey/status/877892412038762497"", ""https://twitter.com/SenBobCasey/status/877890261707243520"", ""https://twitter.com/SenBobCasey/status/877872737657667584"", ""https://twitter.com/SenBobCasey/status/877872546665832450"", ""https://twitter.com/SenBobCasey/status/877646082460848128"", ""https://twitter.com/SenBobCasey/status/877645220409626624"", ""https://twitter.com/SenBobCasey/status/877628012556152832"", ""https://twitter.com/SenBobCasey/status/877622542730543104"", ""https://twitter.com/SenBobCasey/status/877610613505048576"", ""https://twitter.com/SenBobCasey/status/877589220939804672"", ""https://twitter.com/SenBobCasey/status/877550305411567617"", ""https://twitter.com/SenBobCasey/status/877549961063407616"", ""https://twitter.com/SenBobCasey/status/877529880988200960"", ""https://twitter.com/SenBobCasey/status/877528044919021570"", ""https://twitter.com/SenBobCasey/status/877525722897801220"", ""https://twitter.com/SenBobCasey/status/877524165200404480"", ""https://twitter.com/SenBobCasey/status/877523725788360704"", ""https://twitter.com/SenBobCasey/status/877523003495645184"", ""https://twitter.com/SenBobCasey/status/877522562976231425"", ""https://twitter.com/SenBobCasey/status/877285287298248704"", ""https://twitter.com/SenBobCasey/status/877270073022574592"", ""https://twitter.com/SenBobCasey/status/877241354413322243"", ""https://twitter.com/SenBobCasey/status/877220445552074752"", ""https://twitter.com/SenBobCasey/status/877214044524089344"", ""https://twitter.com/SenBobCasey/status/877198026217054212"", ""https://twitter.com/SenBobCasey/status/877190648138539008"", ""https://twitter.com/SenBobCasey/status/877181352831053825"", ""https://twitter.com/SenBobCasey/status/877174108999602177"", ""https://twitter.com/SenBobCasey/status/877161986756399104"", ""https://twitter.com/SenBobCasey/status/877147936655908864"", ""https://twitter.com/SenBobCasey/status/877005587581722625"", ""https://twitter.com/SenBobCasey/status/876989246535499777"", ""https://twitter.com/SenBobCasey/status/876986370891411456"", ""https://twitter.com/SenBobCasey/status/876963312419864576"", ""https://twitter.com/SenBobCasey/status/876954992191696900"", ""https://twitter.com/SenBobCasey/status/876951715593019392"", ""https://twitter.com/SenBobCasey/status/876924338385104898"", ""https://twitter.com/SenBobCasey/status/876921395598503941"", ""https://twitter.com/SenBobCasey/status/876879760164605952"", ""https://twitter.com/SenBobCasey/status/876855417258864640"", ""https://twitter.com/SenBobCasey/status/876855160529707008"", ""https://twitter.com/SenBobCasey/status/876855045362528256"", ""https://twitter.com/SenBobCasey/status/876853532116307968"", ""https://twitter.com/SenBobCasey/status/875799715610333185"", ""https://twitter.com/SenBobCasey/status/875744800577859591"", ""https://twitter.com/SenBobCasey/status/875732827773521920"", ""https://twitter.com/SenBobCasey/status/875457567509536769"", ""https://twitter.com/SenBobCasey/status/875402124070457344"", ""https://twitter.com/SenBobCasey/status/875402100401983489"", ""https://twitter.com/SenBobCasey/status/875402088045568000"", ""https://twitter.com/SenBobCasey/status/875402070379171841"", ""https://twitter.com/SenBobCasey/status/875395298582986752"", ""https://twitter.com/SenBobCasey/status/875387941815812096"", ""https://twitter.com/SenBobCasey/status/875366397878161408"", ""https://twitter.com/SenBobCasey/status/875363141236011008"", ""https://twitter.com/SenBobCasey/status/875343503785684992""]",[]
Christopher A. Coons,SenCoonsOffice,ChrisCoons,94,29,30.85,1,1.06,29.0,"[""https://twitter.com/ChrisCoons/status/877957389282136064"", ""https://twitter.com/ChrisCoons/status/877955688609177600"", ""https://twitter.com/ChrisCoons/status/877955273335484417"", ""https://twitter.com/ChrisCoons/status/877955148382740480"", ""https://twitter.com/ChrisCoons/status/877903519273103360"", ""https://twitter.com/ChrisCoons/status/877255397769400322"", ""https://twitter.com/ChrisCoons/status/877252830259810304"", ""https://twitter.com/ChrisCoons/status/877251698808545282"", ""https://twitter.com/ChrisCoons/status/877250920215719936"", ""https://twitter.com/ChrisCoons/status/877248156563648512"", ""https://twitter.com/ChrisCoons/status/877244088344612864"", ""https://twitter.com/ChrisCoons/status/877176748768677889"", ""https://twitter.com/ChrisCoons/status/877152277844430848"", ""https://twitter.com/ChrisCoons/status/876959457284116480"", ""https://twitter.com/ChrisCoons/status/876956159546204161"", ""https://twitter.com/ChrisCoons/status/876916454334935041"", ""https://twitter.com/ChrisCoons/status/876900180976480256"", ""https://twitter.com/ChrisCoons/status/876898287013421057"", ""https://twitter.com/ChrisCoons/status/876862163171901440"", ""https://twitter.com/ChrisCoons/status/876861971198554113"", ""https://twitter.com/ChrisCoons/status/876860522263711745"", ""https://twitter.com/ChrisCoons/status/876858577306226689"", ""https://twitter.com/ChrisCoons/status/876850815239114753"", ""https://twitter.com/ChrisCoons/status/875759385515098113"", ""https://twitter.com/ChrisCoons/status/875732670336159745"", ""https://twitter.com/ChrisCoons/status/875453912437989376"", ""https://twitter.com/ChrisCoons/status/875369518905905152"", ""https://twitter.com/ChrisCoons/status/875350374735020032"", ""https://twitter.com/ChrisCoons/status/875348151493963776""]","[""https://twitter.com/ChrisCoons/status/875465304121495552""]"
