senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Lamar Alexander,SenAlexander,"",17,4,23.53,1,5.88,4.0,"[""https://twitter.com/SenAlexander/status/874631223175516160"", ""https://twitter.com/SenAlexander/status/874631121132298240"", ""https://twitter.com/SenAlexander/status/874629844885266438"", ""https://twitter.com/SenAlexander/status/874629667470417920""]","[""https://twitter.com/SenAlexander/status/875461414374264833""]"
Roy Blunt,RoyBlunt,RoyBluntMO,15,2,13.33,0,0.0,0.0,"[""https://twitter.com/RoyBlunt/status/875804803028398082"", ""https://twitter.com/RoyBlunt/status/874677379192549376""]",[]
Richard Burr,SenatorBurr,BurrForSenate,6,0,0.0,2,33.33,0.0,[],"[""https://twitter.com/SenatorBurr/status/874708529805971456"", ""https://twitter.com/SenatorBurr/status/874282983460667392""]"
John Boozman,JohnBoozman,Boozman4AR,14,1,7.14,1,7.14,1.0,"[""https://twitter.com/JohnBoozman/status/874727917804244994""]","[""https://twitter.com/JohnBoozman/status/875479907668807683""]"
John Barrasso,SenJohnBarrasso,"",6,0,0.0,0,0.0,0.0,[],[]
Thad Cochran,SenThadCochran,"",11,2,18.18,0,0.0,0.0,"[""https://twitter.com/SenThadCochran/status/875512246712979459"", ""https://twitter.com/SenThadCochran/status/875348828907503616""]",[]
Mike Crapo,MikeCrapo,"",18,2,11.11,7,38.89,0.2857,"[""https://twitter.com/MikeCrapo/status/875352390567948288"", ""https://twitter.com/MikeCrapo/status/874344207514820608""]","[""https://twitter.com/MikeCrapo/status/875363175331397632"", ""https://twitter.com/MikeCrapo/status/875363022281330689"", ""https://twitter.com/MikeCrapo/status/875138031036059649"", ""https://twitter.com/MikeCrapo/status/875079155142074371"", ""https://twitter.com/MikeCrapo/status/874705506216148992"", ""https://twitter.com/MikeCrapo/status/874704749773324288"", ""https://twitter.com/MikeCrapo/status/874688695110164484""]"
Susan M. Collins,SenatorCollins,"",12,2,16.67,1,8.33,2.0,"[""https://twitter.com/SenatorCollins/status/875711008207233025"", ""https://twitter.com/SenatorCollins/status/875059161687576576""]","[""https://twitter.com/SenatorCollins/status/873913650423226368""]"
Shelley Moore Capito,SenCapito,"",28,1,3.57,0,0.0,0.0,"[""https://twitter.com/SenCapito/status/874637778289647616""]",[]
John Cornyn,JohnCornyn,"",82,8,9.76,13,15.85,0.6154,"[""https://twitter.com/JohnCornyn/status/876250643584999426"", ""https://twitter.com/JohnCornyn/status/875860650370768896"", ""https://twitter.com/JohnCornyn/status/875729065134759937"", ""https://twitter.com/JohnCornyn/status/875698594942246913"", ""https://twitter.com/JohnCornyn/status/875695984621301761"", ""https://twitter.com/JohnCornyn/status/875507884783788033"", ""https://twitter.com/JohnCornyn/status/875462457883602944"", ""https://twitter.com/JohnCornyn/status/874792069860077568""]","[""https://twitter.com/JohnCornyn/status/875646542727725056"", ""https://twitter.com/JohnCornyn/status/875474846918070274"", ""https://twitter.com/JohnCornyn/status/875362997547532288"", ""https://twitter.com/JohnCornyn/status/874997163289452544"", ""https://twitter.com/JohnCornyn/status/874934240256897024"", ""https://twitter.com/JohnCornyn/status/874781277823651841"", ""https://twitter.com/JohnCornyn/status/874701958497677312"", ""https://twitter.com/JohnCornyn/status/874215188484022272"", ""https://twitter.com/JohnCornyn/status/874054994848342017"", ""https://twitter.com/JohnCornyn/status/873932554935652352"", ""https://twitter.com/JohnCornyn/status/873569920981897216"", ""https://twitter.com/JohnCornyn/status/873569551925096449"", ""https://twitter.com/JohnCornyn/status/873544434411085824""]"
Bob Corker,SenBobCorker,"",18,0,0.0,2,11.11,0.0,[],"[""https://twitter.com/SenBobCorker/status/875456239626371072"", ""https://twitter.com/SenBobCorker/status/875124557606260736""]"
Tom Cotton,SenTomCotton,TomCottonAR,49,5,10.2,2,4.08,2.5,"[""https://twitter.com/SenTomCotton/status/875831627414253568"", ""https://twitter.com/SenTomCotton/status/875780911685566464"", ""https://twitter.com/SenTomCotton/status/875469223102894080"", ""https://twitter.com/SenTomCotton/status/875423926981083136"", ""https://twitter.com/SenTomCotton/status/874697002734555136""]","[""https://twitter.com/SenTomCotton/status/875437780758708228"", ""https://twitter.com/SenTomCotton/status/874759697118703616""]"
Ted Cruz,SenTedCruz,tedcruz,53,0,0.0,1,1.89,0.0,[],"[""https://twitter.com/SenTedCruz/status/874764602021728256""]"
Steve Daines,SteveDaines,"",14,1,7.14,0,0.0,0.0,"[""https://twitter.com/SteveDaines/status/875085127671582720""]",[]
Michael B. Enzi,SenatorEnzi,"",18,0,0.0,2,11.11,0.0,[],"[""https://twitter.com/SenatorEnzi/status/875411835603763200"", ""https://twitter.com/SenatorEnzi/status/875407743863193602""]"
Joni Ernst,SenJoniErnst,joniernst,7,2,28.57,0,0.0,0.0,"[""https://twitter.com/SenJoniErnst/status/874739049164091394"", ""https://twitter.com/SenJoniErnst/status/874738958218952704""]",[]
Jeff Flake,JeffFlake,"",7,0,0.0,0,0.0,0.0,[],[]
Deb Fischer,SenatorFischer,"",23,3,13.04,0,0.0,0.0,"[""https://twitter.com/SenatorFischer/status/874634405884698624"", ""https://twitter.com/SenatorFischer/status/874620089387155459"", ""https://twitter.com/SenatorFischer/status/874336248625844224""]",[]
Lindsey Graham,GrahamBlog,LindseyGrahamSC,29,0,0.0,5,17.24,0.0,[],"[""https://twitter.com/LindseyGrahamSC/status/873917110342361089"", ""https://twitter.com/LindseyGrahamSC/status/873912500223455232"", ""https://twitter.com/LindseyGrahamSC/status/873912224301101057"", ""https://twitter.com/LindseyGrahamSC/status/873911907023020032"", ""https://twitter.com/LindseyGrahamSC/status/873905690657599489""]"
Chuck Grassley,ChuckGrassley,"",21,0,0.0,1,4.76,0.0,[],"[""https://twitter.com/ChuckGrassley/status/873578733914828802""]"
Cory Gardner,SenCoryGardner,CoryGardner,12,0,0.0,2,16.67,0.0,[],"[""https://twitter.com/SenCoryGardner/status/875711752280911872"", ""https://twitter.com/SenCoryGardner/status/875711370779668480""]"
Orrin G. Hatch,SenOrrinHatch,OrrinHatch,59,1,1.69,0,0.0,0.0,"[""https://twitter.com/senorrinhatch/status/874799148968620037""]",[]
